title,section,published_at,summary,url,thumbnail
Europe heatwave live: UK temperatures forecast to reach 38C; French PM to hold crisis meeting after heat deaths,World news,2026-06-23T09:10:40Z,Temperatures could smash June record in England and Wales set in 1976; red alerts in France after 19 heat deaths,https://www.theguardian.com/p/x5bf25,https://media.guim.co.uk/c2f82b886c0cff489bbd744221d987414153008b/579_0_2921_2336/500.jpg
"‘Geldof started flicking Vs at Farage’: the story of the Brexit campaign, told by those with a front-row seat",UK news,2026-06-23T07:52:06Z,"How five months in 2016 that encompassed Boris Johnson siding with Vote Leave, Jo Cox’s murder and David Cameron’s resignation shaped the UK’s future",https://www.theguardian.com/p/x59bm7,https://media.guim.co.uk/092440b6c222cb78480cf05d31637fa6c7ed6d74/70_0_6205_4961/500.jpg
Drug that delays onset of type 1 diabetes approved in England and Wales,Society,2026-06-23T05:00:31Z,Availability of teplizumab on the NHS – which postpones early stages of disease for up to three years – described as an ‘incredible moment’,https://www.theguardian.com/p/x5bdva,https://media.guim.co.uk/1483724c22fc96f083e17e88ad4bbcbc73639ee5/239_0_6461_5168/500.jpg
"From the NHS to new homes, Starmer’s successes and setbacks – in charts",Politics,2026-06-23T05:00:31Z,"The PM said in May that ‘stories beat spreadsheets’, but what does the data tell us about his time in office?",https://www.theguardian.com/p/x532mc,https://media.guim.co.uk/07fff8236208a8e4f1e6838d6cf984b778fc41ea/1_0_4998_4000/500.jpg
From bendy bananas to £350m for the NHS – how many Brexit promises actually came true?,UK news,2026-06-23T04:00:32Z,"Leaving the EU was supposed to solve Britain’s border issues, slash bureaucracy, revitalise the health service, even supercharge vacuum cleaners. How much control did we really take back?",https://www.theguardian.com/p/x54zjb,https://media.guim.co.uk/2747dbda4a3e80eed17d5759c7b3b5efe3524491/0_1_1601_1281/500.jpg
Andy Burnham sworn in as an MP after Keir Starmer resigns as prime minister - as it happened,Politics,2026-06-22T19:50:59Z,The prime minister said a new leader will be in place before parliament returns in September,https://www.theguardian.com/p/x5bayc,https://media.guim.co.uk/4d5569054b6006ef0de99885b277f5c47eed1dfc/634_0_6335_5068/500.jpg
The Guardian view on Labour’s leadership: Andy Burnham has a story. He must also have a plan,Opinion,2026-06-22T17:42:00Z,<strong>Editorial:</strong> Keir Starmer won power but never explained Britain’s crisis. The new MP for Makerfield offers a sharper diagnosis – and one that voters can understand,https://www.theguardian.com/p/x5bdgy,https://media.guim.co.uk/c3d71bf1280efed3da7be26f95d7ec90ea4c8f6b/297_0_5514_4410/500.jpg
Keir Starmer’s economic legacy – in charts,Politics,2026-06-22T17:07:37Z,PM said Labour had turned economy around – but his record on growth and unemployment appears mixed,https://www.theguardian.com/p/x5332n,https://media.guim.co.uk/1f7a2bebec27a8b917aae9b07165a634bfe025e1/1_0_4998_4000/500.jpg
"Good luck, Andy Burnham – you’ll need more than a smile and a better bus service to succeed in No 10",Opinion,2026-06-22T15:28:18Z,"As prime minister, Starmer acted with dignity. What a pity that those Labour colleagues who ousted him could not do the same, says Guardian columnist Simon Jenkins",https://www.theguardian.com/p/x5bchv,https://media.guim.co.uk/a88ac85d7c811665a5b7857b43b50b0a79f5a164/1316_0_6599_5279/500.jpg
The rise and fall of Keir Starmer: where did it all go wrong?,Politics,2026-06-22T15:24:34Z,PM’s demise after landslide victory two years ago points to an increasingly volatile and impatient electorate,https://www.theguardian.com/p/x5bc7t,https://media.guim.co.uk/4d7a49a9fbae174d247b3e637174c59ec141baea/0_0_5000_4000/500.jpg
